新聞,#genre#
iNEWS,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=8
iNEWS,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1014
TVBS新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=2
TVBS新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1004
TVB娛樂新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1242
中天新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=3
中天新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1002
民視新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=13
民視新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=317
華視新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=6
華視新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1012
臺視新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1
臺視新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1006
中視新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=7
中視新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1000
東森新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=9
東森新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1016
東森財經,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=12
東森財經,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1018
年代新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=236
年代新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1099
非凡商業,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=187
非凡新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=314
寰宇財經,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=320
寰宇新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=304
寰宇臺灣,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=87
第1商業,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=186
壹電視新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=303
三立LIVE新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=4
三立LIVE新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1008
新唐人亞太臺,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=10
半島國際新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=494
CNN頭條新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=43
CNN國際新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=420
DW News,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=14
DW德國之聲,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1059
VOA衛視,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=22
VOA美國之音,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=495
FRANCE 24,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1042
CBN News,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=499
THE WORLD,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1013
RT News,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1025
TRTWORLD,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1022
Bloomberg Financial,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1046
Al Jazeera,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1144
Bloomberg Europe,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=370
BBC World News,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=421
運通財經,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=79
歐洲新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1343

港澳,#genre#
爆穀臺,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=152
美亞電影,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=375
AMC最愛電影,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=92
TVB翡翠,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=30
TVB翡翠,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=390
TVB明珠,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=391
TVB經典,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1083
TVB星河,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1079
TVB J1,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1244
TVB J2,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=392
TVB Jade,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=429
TVB Jade,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1084
TVBDRAMA,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1243
TVB娛樂新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1242
無線新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=45
無線新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=394
無線財經,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=393
有線新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=395
有線新聞,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=396
有線娛樂,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=360
有線18臺,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=44
有線603,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=398
有線體育1,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=401
有線體育2,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=356
有線電影,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=354
Now財經,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=111
NOW直播,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=400
NOW電視,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1246
NOWsportsorime,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1358
Viutv,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=72
Viutv6,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=176
港臺31,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=353
港臺32,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=397
ATV亞視,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=1457
HKS,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=399
鳳凰香港,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=358
鳳凰衛視,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=357
鳳凰資訊,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=359
鳳凰電影,http://jxszzo8.vipcrtv.tk/wukong/crtv.php?id=19
